1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0.0019001,0.0016471,0.0014722,0.0014099,0.0013905,0.0013995,0.0014232,0.0014533,0.0014922,0.0015353,0.0015836,0.0016583,0.0017852,0.0020343,0.0024357,0.0030242,0.0036828,0.0043,0.0048901,0.0054635,0.0058038,0.0062247,0.0070654,0.0079529,0.0086631,0.0089122,0.0091701,0.0093385,0.0094415,0.0095632,0.009609,-0.0015618,-0.0012009,-0.00076888,-0.00047763,-0.00026689,-0.00011283,-2.50E-07,8.96E-05,0.00017331,0.00026298,0.00038165,0.00055444,0.00079496,0.0011227,0.0014589,0.001737,0.0018284,0.0018354,0.0018037,0.0017097,0.0016126,0.0018345,0.0019992,0.0017306,0.0011312,0.00079509,0.00043628,0.00013772,-4.55E-06,-0.00023035,-0.00030131
0.001827,0.0015817,0.0014723,0.0013995,0.0013843,0.0013916,0.0014129,0.0014433,0.0014813,0.0015231,0.0015705,0.0016376,0.0017594,0.0019869,0.002397,0.0029784,0.0036676,0.0043501,0.0050531,0.0056475,0.0060449,0.0065204,0.0073361,0.0083141,0.0086014,0.0093475,0.0094394,0.0095185,0.0096536,0.0096708,0.0096934,-0.001768,-0.0011362,-0.0007689,-0.00048177,-0.00026781,-0.00011448,-2.23E-06,8.74E-05,0.00016886,0.00025844,0.00037643,0.00054893,0.00079588,0.0011245,0.0015052,0.0018197,0.0019607,0.0020151,0.0020537,0.0018929,0.0017983,0.0020463,0.002176,0.0019192,0.0014502,0.00099002,0.00043917,0.00020677,-0.00012993,-0.00023894,-0.00031712
0.0017762,0.0016745,0.0014587,0.0013995,0.0013836,0.0013905,0.001411,0.001442,0.0014791,0.0015188,0.0015663,0.0016329,0.001755,0.0019838,0.0023881,0.0029685,0.003666,0.0043662,0.0050293,0.0056995,0.0061156,0.0065794,0.0074485,0.0084207,0.0091614,0.0094757,0.0097061,0.0099041,0.0097725,0.0097588,0.0097133,-0.0017945,-0.0012009,-0.00077781,-0.00047975,-0.00026724,-0.00011434,-3.45E-06,8.64E-05,0.00016782,0.00025655,0.00037483,0.00054801,0.00079854,0.0011284,0.0015485,0.001805,0.0019829,0.0020502,0.0019757,0.0019403,0.0018149,0.0020609,0.0022586,0.0019509,0.0013341,0.00089233,0.00049632,0.0001674,-3.85E-05,-0.00018708,-0.00030731
0.0019038,0.0015319,0.0014744,0.0013984,0.0013835,0.0013902,0.0014113,0.0014423,0.0014781,0.0015205,0.0015666,0.0016373,0.0017525,0.001975,0.0023816,0.0029727,0.0036934,0.0043702,0.0050716,0.0056956,0.006101,0.0065601,0.0074228,0.0084149,0.0091048,0.0095008,0.0097238,0.0098034,0.0098114,0.009795,0.009674,-0.0017007,-0.0012587,-0.00077197,-0.00047996,-0.00026656,-0.00011456,-2.93E-06,8.67E-05,0.00016825,0.00025643,0.00037539,0.00054877,0.00079964,0.0011301,0.0015039,0.0018461,0.0020112,0.0020348,0.0020575,0.001888,0.0017804,0.002049,0.002233,0.0019915,0.00145,0.00092212,0.00049668,0.00021728,-2.82E-05,-0.00020245,-0.00029728
0.0018705,0.0016096,0.0014869,0.0014156,0.0013971,0.0014057,0.0014295,0.001462,0.0015015,0.0015452,0.0016025,0.0016909,0.001848,0.0021296,0.0025792,0.0031654,0.0036893,0.0041249,0.0044859,0.0047851,0.0050226,0.0053139,0.0057783,0.0061814,0.0064379,0.0065759,0.0066552,0.0066298,0.0066338,0.0066306,0.0066119,-0.0017602,-0.0011832,-0.00076337,-0.00047621,-0.00026197,-0.00010795,4.61E-06,9.64E-05,0.00017985,0.00027509,0.0003993,0.00057749,0.00081838,0.0011123,0.0013635,0.0014688,0.0013924,0.0012831,0.0011727,0.0010399,0.00099276,0.0010808,0.0010564,0.00081658,0.00058265,0.00031473,0.0001275,1.03E-05,-9.76E-05,-0.00013352,-0.00018003
0.0017766,0.0015926,0.0014799,0.0014055,0.0013857,0.0013962,0.0014195,0.0014509,0.00149,0.0015318,0.0015873,0.0016727,0.0018268,0.0021056,0.0025553,0.0031445,0.0037031,0.0041479,0.0045297,0.0048953,0.0050806,0.0053577,0.0058712,0.0062783,0.0065776,0.0066699,0.0066857,0.0067296,0.0067363,0.0067178,0.0066738,-0.0017766,-0.0012001,-0.00076533,-0.00047949,-0.0002644,-0.00010876,3.59E-06,9.42E-05,0.00017838,0.00027155,0.00039552,0.00057375,0.00081972,0.0011198,0.0013956,0.0015117,0.0014449,0.00134,0.0012385,0.0011385,0.0010646,0.0011254,0.0011324,0.00089463,0.00060479,0.00033968,0.00014166,-7.63E-07,-8.75E-05,-0.00013571,-0.00016958
0.0019391,0.001659,0.0014639,0.001411,0.0013907,0.001399,0.0014225,0.0014551,0.0014932,0.0015381,0.0015929,0.0016799,0.0018356,0.0021245,0.0025845,0.0031493,0.0036966,0.0041251,0.0044789,0.004807,0.005017,0.0053017,0.0057666,0.0061713,0.0064367,0.0065937,0.0067187,0.0066054,0.0066113,0.0066323,0.0066301,-0.0017044,-0.0011946,-0.00076671,-0.00048026,-0.00026268,-0.00010869,4.66E-06,9.53E-05,0.00017979,0.00027307,0.00039786,0.00057872,0.00082682,0.0011121,0.0013781,0.0014699,0.0014041,0.0012778,0.0011643,0.0010638,0.00098766,0.0010719,0.0010708,0.00082397,0.00057169,0.00033274,0.00016606,1.80E-06,-8.69E-05,-0.00014556,-0.00019102
0.0020146,0.0016529,0.0014843,0.0014138,0.0013972,0.0014042,0.0014275,0.0014602,0.0014985,0.0015451,0.0015996,0.0016883,0.0018478,0.0021344,0.0026032,0.0031675,0.0037057,0.0041266,0.0044791,0.0048027,0.0050191,0.0053532,0.0057402,0.00614,0.0064166,0.0065752,0.0065906,0.0066171,0.0066288,0.0066463,0.0066753,-0.0017985,-0.0011291,-0.00077026,-0.00047495,-0.00026324,-0.0001089,4.96E-06,9.67E-05,0.00018066,0.00027431,0.00040123,0.0005825,0.00083061,0.0011164,0.0013745,0.0014523,0.0013919,0.0012622,0.0011519,0.0010504,0.00097806,0.0010552,0.0010536,0.00088491,0.00055468,0.00031587,0.00012976,-2.82E-06,-7.85E-05,-0.00014298,-0.00018615
0.0018294,0.0015874,0.0014809,0.0014159,0.001396,0.0014078,0.001432,0.0014652,0.0015044,0.0015518,0.0016118,0.0017103,0.0018872,0.002203,0.0026682,0.0032245,0.0036773,0.0040095,0.0042659,0.0044982,0.0046622,0.0048751,0.0051726,0.0054244,0.0055735,0.0055969,0.0056127,0.0055956,0.0055854,0.0055683,0.0055305,-0.0017941,-0.0010918,-0.00075237,-0.0004753,-0.00025966,-0.00010451,8.69E-06,0.00010123,0.00018709,0.00028365,0.00041223,0.00059227,0.00083044,0.0010984,0.0013085,0.0013114,0.0011804,0.0010224,0.00088631,0.00078897,0.00072489,0.00076056,0.00071266,0.00052424,0.00032293,0.0001576,4.95E-05,-4.39E-05,-0.00010152,-0.0001296,-0.0001529
0.0019889,0.0015516,0.0014648,0.001399,0.0013825,0.0013918,0.0014161,0.0014495,0.0014872,0.0015329,0.0015892,0.0016842,0.0018575,0.0021662,0.0026341,0.0031848,0.0036623,0.0039997,0.0042675,0.0045106,0.0046797,0.0049,0.0051895,0.0054791,0.005605,0.0056424,0.0056401,0.005622,0.005599,0.0055738,0.0055241,-0.0018037,-0.0011944,-0.00076287,-0.00047549,-0.00026051,-0.0001068,6.72E-06,9.78E-05,0.00018205,0.00027725,0.00040625,0.00059,0.00083399,0.0010982,0.0013178,0.0013454,0.0012142,0.0010512,0.0009193,0.00082037,0.00075646,0.00079413,0.00072381,0.00054111,0.00033095,0.00016172,7.12E-05,-1.93E-05,-8.15E-05,-0.0001183,-0.00014292
